hogar,sexo,edad,dia_laborable,trabajo_pago,trabajo_domestico_no_pago,voluntariados,estudio_educacion,recreacion,aplicaciones,tareas_cuidados,cuidado_personal,trabajo_pago2,trabajo_domestico_no_pago2,voluntariados2,estudio_educacion2,recreacion2,aplicaciones2,tareas_cuidados2,cuidado_personal2,dia_tipico,rango_etario,nivel_educativo,relacion_parentesco_jefe,tipo_hogar,quintil_ingreso,estado_ocupacional
1840_1,Mujer,67,Día laborable,3.5,2.7,0.0,0.0,1.0,5.8,0.0,11.1,3.5,2.7,0.0,0.0,1.0,5.8,0.0,11.1,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado
1841_1,Varon,67,Día no laborable,0.0,2.2,0.0,0.0,4.0,7.5,0.0,14.3,0.0,1.4,0.0,0.0,2.0,7.5,0.0,13.1,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1842_1,Mujer,67,Día no laborable,0.0,2.3,8.0,0.0,4.0,0.0,0.0,13.8,0.0,1.5,7.5,0.0,2.5,0.0,0.0,12.5,Día atípico,65+,Secundario completo/Superior incompleto,Otro,Otro,5to quintil,Inactivo
1843_1,Varon,67,Día laborable,12.2,2.6,0.0,0.0,0.0,0.0,0.0,9.3,12.2,2.6,0.0,0.0,0.0,0.0,0.0,9.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado
1844_1,Mujer,67,Día no laborable,2.7,0.5,0.0,0.0,0.0,5.5,0.0,15.3,2.7,0.5,0.0,0.0,0.0,5.5,0.0,15.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1845_1,Mujer,67,Día no laborable,0.0,2.2,0.0,0.0,5.0,2.8,0.0,16.5,0.0,2.2,0.0,0.0,3.8,2.8,0.0,15.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1846_1,Varon,67,Día laborable,10.7,0.5,0.0,0.0,1.0,4.0,0.0,8.8,10.7,0.5,0.0,0.0,0.5,4.0,0.0,8.3,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1847_1,Mujer,67,Día no laborable,0.0,1.7,0.0,0.0,1.3,9.8,0.0,11.2,0.0,1.7,0.0,0.0,1.3,9.8,0.0,11.2,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1848_1,Varon,67,Día no laborable,0.0,4.3,4.3,0.0,7.3,2.3,0.0,13.8,0.0,3.6,2.1,0.0,3.6,2.3,0.0,12.5,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1849_1,Mujer,67,Día laborable,8.0,3.3,0.0,0.0,1.2,1.8,0.0,10.8,8.0,3.3,0.0,0.0,0.6,1.8,0.0,10.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Otro,5to quintil,Ocupado
1850_1,Varon,67,Día laborable,9.0,5.1,0.0,0.0,3.7,0.0,0.0,8.3,8.8,5.1,0.0,0.0,2.8,0.0,0.0,7.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Otro,5to quintil,Ocupado
1851_1,Mujer,67,Día laborable,3.1,2.5,0.0,0.0,9.5,0.0,0.0,14.2,3.1,1.3,0.0,0.0,6.9,0.0,0.0,12.8,Día atípico,65+,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado
1852_1,Mujer,67,Día no laborable,0.0,4.7,5.0,0.0,3.5,3.0,0.0,12.3,0.0,4.7,3.8,0.0,1.6,3.0,0.0,10.9,Día atípico,65+,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1853_1,Mujer,67,Día laborable,8.5,4.5,0.0,0.0,2.0,1.3,0.0,9.7,8.1,4.4,0.0,0.0,1.4,1.3,0.0,8.8,Día atípico,65+,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado
1854_1,Mujer,67,Día no laborable,0.0,7.2,4.0,0.0,3.5,0.0,0.0,10.8,0.0,7.2,4.0,0.0,2.8,0.0,0.0,10.1,Día atípico,65+,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1855_1,Varon,67,Día laborable,4.5,0.6,5.1,0.0,0.0,4.0,0.0,9.8,4.5,0.6,5.1,0.0,0.0,4.0,0.0,9.8,Día atípico,65+,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1856_1,Varon,67,Día no laborable,0.0,5.4,3.5,0.0,11.5,2.0,0.0,10.6,0.0,3.4,1.8,0.0,7.5,2.0,0.0,9.4,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1857_1,Mujer,67,Día laborable,4.3,5.5,0.0,0.0,0.7,3.8,0.0,9.8,4.3,5.5,0.0,0.0,0.7,3.8,0.0,9.8,Día atípico,65+,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado
1858_1,Mujer,67,Día no laborable,0.0,3.8,4.5,0.0,7.5,2.2,0.0,11.0,0.0,3.8,2.3,0.0,5.0,2.2,0.0,10.8,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1859_1,Mujer,67,Día laborable,9.0,0.8,1.5,0.0,1.3,2.7,0.0,8.8,9.0,0.8,1.5,0.0,1.3,2.7,0.0,8.8,Día atípico,65+,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1860_1,Varon,67,Día laborable,5.3,1.3,2.3,0.0,3.3,3.0,0.0,11.7,5.3,1.3,2.3,0.0,1.9,3.0,0.0,10.3,Día atípico,65+,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado
1861_1,Mujer,67,Día no laborable,0.0,1.5,4.0,0.0,4.0,3.0,0.0,13.5,0.0,1.5,3.5,0.0,3.5,3.0,0.0,12.5,Día atípico,65+,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1862_1,Mujer,67,Día laborable,6.8,0.2,0.0,0.0,2.8,3.5,0.0,10.8,6.8,0.2,0.0,0.0,2.8,3.5,0.0,10.8,Día atípico,65+,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado
1863_1,Varon,68,Día no laborable,0.0,3.8,0.0,0.0,9.4,0.5,0.0,16.8,0.0,2.9,0.0,0.0,6.2,0.5,0.0,14.4,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1864_1,Varon,68,Día laborable,6.3,0.2,0.0,0.0,7.0,0.0,7.0,12.5,6.3,0.2,0.0,0.0,3.2,0.0,3.2,11.2,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1865_1,Mujer,68,Día laborable,15.2,3.3,0.0,0.0,3.8,0.0,0.7,4.0,15.2,2.8,0.0,0.0,2.6,0.0,0.4,3.1,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1866_1,Varon,68,Día laborable,5.8,0.7,0.0,0.0,2.8,3.0,0.0,14.6,5.8,0.7,0.0,0.0,1.4,3.0,0.0,13.2,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1867_1,Varon,68,Día laborable,2.1,0.9,0.0,0.0,6.2,1.8,0.0,14.5,2.1,0.9,0.0,0.0,5.4,1.8,0.0,13.8,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
